Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S320800124,Black-capped Chickadee,Poecile atricapillus,22065,2,US-ME,Cumberland,L62114734,Home,43.618038,-70.303394,2026-04-12,02:19 PM,eBird - Stationary Count,1,1,,,1
S321074228,Black-capped Chickadee,Poecile atricapillus,22065,5,US-ME,Cumberland,L62114734,Home,43.618038,-70.303394,2026-04-13,07:35 AM,eBird - Stationary Count,1,1,,,1
S321625938,Black-capped Chickadee,Poecile atricapillus,22065,1,US-ME,Cumberland,L62114734,Home,43.618038,-70.303394,2026-04-14,10:42 AM,eBird - Traveling Count,24,1,.12,,1
S321644255,Black-capped Chickadee,Poecile atricapillus,22065,3,US-ME,Cumberland,L62114734,Home,43.618038,-70.303394,2026-04-14,11:35 AM,eBird - Traveling Count,19,1,.098,,1
S322181326,Black-capped Chickadee,Poecile atricapillus,22065,1,US-ME,Cumberland,L62114734,Home,43.618038,-70.303394,2026-04-15,04:40 PM,eBird - Stationary Count,1,1,,,1
S322631067,Black-capped Chickadee,Poecile atricapillus,22065,1,US-ME,Cumberland,L62114734,Home,43.618038,-70.303394,2026-04-16,04:53 PM,eBird - Stationary Count,2,1,,,1
S324776271,Black-capped Chickadee,Poecile atricapillus,22065,1,US-ME,Cumberland,L62114734,Home,43.618038,-70.303394,2026-04-20,03:22 PM,eBird - Traveling Count,7,1,.092,,1
S333105498,Black-capped Chickadee,Poecile atricapillus,22065,3,US-ME,Cumberland,L62114734,Home,43.618038,-70.303394,2026-05-05,12:10 PM,eBird - Stationary Count,12,1,,,1
S333184005,Black-capped Chickadee,Poecile atricapillus,22065,2,US-ME,Cumberland,L62114734,Home,43.618038,-70.303394,2026-05-05,03:02 PM,eBird - Stationary Count,6,1,,,1
S326963663,Black-capped Chickadee,Poecile atricapillus,22065,1,US-ME,Cumberland,L1579234,"Robinson Woods Preserve, Cape Elizabeth",43.6106674,-70.2164627,2026-04-25,07:19 AM,eBird - Traveling Count,39,1,1.93,,1
S330425959,Tufted Titmouse,Baeolophus bicolor,22160,1,US-MA,Bristol,L11660244,Destruction Brook Woods (DNRT),41.570637,-71.0175991,2026-05-01,07:42 AM,eBird - Traveling Count,83,1,1.5,,2
S320740429,Tufted Titmouse,Baeolophus bicolor,22160,1,US-ME,Cumberland,L62114734,Home,43.618038,-70.303394,2026-04-12,12:26 PM,eBird - Stationary Count,13,1,,,1
S321644255,Tufted Titmouse,Baeolophus bicolor,22160,1,US-ME,Cumberland,L62114734,Home,43.618038,-70.303394,2026-04-14,11:35 AM,eBird - Traveling Count,19,1,.098,,1
S326664337,Tufted Titmouse,Baeolophus bicolor,22160,1,US-ME,Cumberland,L62114734,Home,43.618038,-70.303394,2026-04-24,03:53 PM,eBird - Stationary Count,9,1,,,1
S333105498,Tufted Titmouse,Baeolophus bicolor,22160,1,US-ME,Cumberland,L62114734,Home,43.618038,-70.303394,2026-05-05,12:10 PM,eBird - Stationary Count,12,1,,,1
S330391580,Tree Swallow,Tachycineta bicolor,24064,1,US-MA,Bristol,L784803,Allens Pond WS--Beach Loop (Mass Audubon),41.5070668,-71.023618,2026-05-01,09:29 AM,eBird - Traveling Count,57,1,1.867,,1
S330425959,White-breasted Nuthatch,Sitta carolinensis,26889,1,US-MA,Bristol,L11660244,Destruction Brook Woods (DNRT),41.570637,-71.0175991,2026-05-01,07:42 AM,eBird - Traveling Count,83,1,1.5,,2
S333105498,Gray Catbird,Dumetella carolinensis,28000,1,US-ME,Cumberland,L62114734,Home,43.618038,-70.303394,2026-05-05,12:10 PM,eBird - Stationary Count,12,1,,,1,,,,656654414
S330391580,American Robin,Turdus migratorius,28633,2,US-MA,Bristol,L784803,Allens Pond WS--Beach Loop (Mass Audubon),41.5070668,-71.023618,2026-05-01,09:29 AM,eBird - Traveling Count,57,1,1.867,,1
S319507306,American Robin,Turdus migratorius,28633,1,US-ME,Cumberland,L9076474,Forest City Cemetery,43.6346567,-70.2774657,2026-04-10,06:55 AM,eBird - Traveling Count,34,1,1.101,,1
S320740429,American Robin,Turdus migratorius,28633,1,US-ME,Cumberland,L62114734,Home,43.618038,-70.303394,2026-04-12,12:26 PM,eBird - Stationary Count,13,1,,,1
S320800124,American Robin,Turdus migratorius,28633,1,US-ME,Cumberland,L62114734,Home,43.618038,-70.303394,2026-04-12,02:19 PM,eBird - Stationary Count,1,1,,,1
S320924964,American Robin,Turdus migratorius,28633,1,US-ME,Cumberland,L62114734,Home,43.618038,-70.303394,2026-04-12,07:05 PM,eBird - Stationary Count,1,1,,,1
